timestamp,symbol,action,price,quantity,sl,tp,trailing_stop,strategy,regime,cash_before,cash_after,position_before,position_after,notes
2025-08-29T21:43:24.705264+00:00,MSFT,enter_long,333.21,74,330.2742857142857,337.6135714285714,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:24.806588+00:00,MSFT,enter_long,333.04,74,331.04071428571433,335.7057142857143,,SMAStrategy,normal,,,,,
2025-08-29T21:43:26.017360+00:00,MSFT,enter_short,331.53,75,333.4971428571428,328.90714285714284,,SMAStrategy,normal,,,,,
2025-08-29T21:43:26.113431+00:00,AAPL,enter_long,297.25,84,294.2528571428571,301.7457142857143,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:26.119836+00:00,MSFT,enter_short,331.67,75,333.70250000000004,328.96000000000004,,SMAStrategy,normal,,,,,
2025-08-29T21:43:26.213772+00:00,AAPL,enter_long,297.48,83,294.51,301.935,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:26.221294+00:00,MSFT,enter_short,331.85,75,333.86857142857144,329.15857142857146,,SMAStrategy,normal,,,,,
2025-08-29T21:43:26.315808+00:00,AAPL,enter_long,297.55,83,294.78714285714284,301.69428571428574,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:28.439506+00:00,AAPL,enter_short,297.35,83,300.00428571428574,293.36857142857144,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:28.541164+00:00,AAPL,enter_short,297.3,84,299.95000000000005,293.325,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:28.652479+00:00,AAPL,enter_short,297.39,83,300.1014285714286,293.3228571428571,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:29.245602+00:00,AAPL,enter_long,298.01,83,295.2657142857143,302.12642857142856,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:29.346281+00:00,AAPL,enter_long,298.15,83,295.31857142857143,302.39714285714285,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:29.446944+00:00,AAPL,enter_long,298.73,83,295.8128571428572,303.1057142857143,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:35.617557+00:00,AAPL,enter_short,300.23,83,301.16357142857146,298.8296428571429,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:35.625395+00:00,MSFT,enter_long,332.64,75,330.5389285714286,335.44142857142856,,SMAStrategy,normal,,,,,
2025-08-29T21:43:35.719883+00:00,AAPL,enter_short,300.63,83,301.5728571428571,299.2157142857143,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:35.729898+00:00,MSFT,enter_long,331.97,75,329.915,334.71000000000004,,SMAStrategy,normal,,,,,
2025-08-29T21:43:36.328753+00:00,MSFT,enter_short,331.65,75,335.05571428571426,326.5414285714285,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:36.424487+00:00,AAPL,enter_long,309.1,80,305.9114285714286,313.8828571428572,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:36.429717+00:00,MSFT,enter_short,331.88,75,335.2628571428572,326.80571428571426,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:36.526243+00:00,AAPL,enter_long,308.96,80,305.75142857142856,313.7728571428571,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:37.949660+00:00,AAPL,enter_short,304.57,82,306.4910714285714,302.00857142857143,,SMAStrategy,normal,,,,,
2025-08-29T21:43:37.958510+00:00,MSFT,enter_long,333.39,74,331.4828571428571,335.93285714285713,,SMAStrategy,normal,,,,,
2025-08-29T21:43:38.039449+00:00,AAPL,enter_short,304.41,82,306.3567857142857,301.81428571428575,,SMAStrategy,normal,,,,,
2025-08-29T21:43:38.045094+00:00,MSFT,enter_long,333.99,74,331.8192857142857,336.88428571428574,,SMAStrategy,normal,,,,,
2025-08-29T21:43:38.141189+00:00,AAPL,enter_short,303.92,82,305.9407142857143,301.22571428571433,,SMAStrategy,normal,,,,,
2025-08-29T21:43:38.146508+00:00,MSFT,enter_long,333.78,74,331.5621428571428,336.7371428571428,,SMAStrategy,normal,,,,,
2025-08-29T21:43:39.461586+00:00,MSFT,enter_short,333.12,74,336.1657142857143,328.5514285714286,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:39.564882+00:00,MSFT,enter_short,333.31,74,335.4882142857143,330.4057142857143,,SMAStrategy,normal,,,,,
2025-08-29T21:43:39.667582+00:00,MSFT,enter_short,333.31,74,335.37892857142856,330.5514285714286,,SMAStrategy,normal,,,,,
2025-08-29T21:43:40.160174+00:00,AAPL,enter_long,304.67,81,301.6157142857143,309.25142857142856,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:40.261280+00:00,AAPL,enter_long,305.56,81,302.54857142857145,310.07714285714286,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:40.361458+00:00,AAPL,enter_long,305.77,81,302.70142857142855,310.37285714285713,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:42.691205+00:00,AAPL,enter_short,304.2,82,307.29571428571427,299.55642857142857,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:42.700753+00:00,MSFT,enter_long,334.43,74,333.45428571428573,335.8935714285714,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:42.790757+00:00,AAPL,enter_short,303.72,82,306.8757142857143,298.98642857142863,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:42.800253+00:00,MSFT,enter_long,334.16,74,333.0464285714286,335.83035714285717,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:45.960426+00:00,MSFT,enter_short,336.59,74,338.40071428571423,334.17571428571426,,SMAStrategy,normal,,,,,
2025-08-29T21:43:46.027632+00:00,AAPL,enter_long,304.06,82,300.86,308.86,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:46.036168+00:00,MSFT,enter_short,337.2,74,338.9421428571428,334.87714285714287,,SMAStrategy,normal,,,,,
2025-08-29T21:43:46.136216+00:00,AAPL,enter_long,304.01,82,301.1142857142857,308.3535714285714,,SMAStrategy,high_volatility,,,,,
2025-08-29T21:43:46.154013+00:00,MSFT,enter_short,337.89,73,338.94071428571425,336.31392857142856,,SMAStrategy,low_volatility,,,,,
2025-08-29T21:43:46.225949+00:00,AAPL,enter_long,304.04,82,302.01500000000004,306.74,,SMAStrategy,normal,,,,,
2025-08-29T21:43:48.857820+00:00,AAPL,enter_short,303.97,82,305.8096428571429,301.51714285714286,,SMAStrategy,normal,,,,,
