2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger initialized.
2025-08-11 19:24:12 - TradeLogger - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger name: TradeLogger
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger initialized.
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger name: Drawdown Monitor
2025-08-11 19:24:12 - Drawdown Monitor - INFO - [DAILY RESET] Portfolio start set to 100,000.00
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.085778+00:00 | enter_short 1 MSFT @ 336.26 | SL:337.08714285714285 TP:335.01928571428573 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.186112+00:00 | enter_short 1 MSFT @ 336.24 | SL:337.0464285714286 TP:335.03035714285716 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.536316+00:00 | enter_short 1 MSFT @ 335.53 | SL:336.2078571428571 TP:334.51321428571424 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.598753+00:00 | enter_short 1 MSFT @ 335.65 | SL:336.31642857142856 TP:334.6503571428571 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.699909+00:00 | enter_short 1 MSFT @ 335.88 | SL:336.60285714285715 TP:334.79571428571427 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.800348+00:00 | enter_short 1 MSFT @ 335.70 | SL:336.44357142857143 TP:334.58464285714285 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:23 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:23.900835+00:00 | enter_short 1 MSFT @ 335.62 | SL:336.33 TP:334.555 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.002848+00:00 | enter_short 1 MSFT @ 335.38 | SL:336.06857142857143 TP:334.34714285714284 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.104191+00:00 | enter_short 1 MSFT @ 334.98 | SL:335.78285714285715 TP:333.7757142857143 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.204972+00:00 | enter_short 1 MSFT @ 334.73 | SL:335.5207142857143 TP:333.5439285714286 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.330772+00:00 | enter_short 1 MSFT @ 334.62 | SL:335.4357142857143 TP:333.39642857142854 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.403638+00:00 | enter_short 1 MSFT @ 334.87 | SL:335.7814285714286 TP:333.5028571428571 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.509354+00:00 | enter_short 1 MSFT @ 334.62 | SL:336.0182142857143 TP:332.7557142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.631373+00:00 | enter_short 1 MSFT @ 334.88 | SL:336.31035714285713 TP:332.97285714285715 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.745102+00:00 | enter_short 1 MSFT @ 334.67 | SL:336.27500000000003 TP:332.53000000000003 TS:None | strat=MomentumStrategy regime=normal
