mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25.778250694274902,9.179555482001788,0.6994042873382569,0.20155682666733796,700,10,log2,16,"{'model__n_estimators': np.int64(700), 'model__min_samples_split': 10, 'model__max_features': 'log2', 'model__max_depth': np.int64(16)}",0.5052067173440893,0.5238653846153846,0.5210384615384616,0.49975633528265107,0.44971869915511736,0.49991711958714075,0.026711486643692068,19
22.27023491859436,8.744527877144717,0.36688623428344724,0.1383168022169231,700,10,sqrt,12,"{'model__n_estimators': np.int64(700), 'model__min_samples_split': 10, 'model__max_features': 'sqrt', 'model__max_depth': np.int64(12)}",0.506156919019547,0.5154230769230769,0.5197307692307692,0.521569200779727,0.44141689373297005,0.5008593719372181,0.030194702745892983,17
27.13718361854553,10.98917119175363,0.5740403652191162,0.3326753795131525,700,5,log2,,"{'model__n_estimators': np.int64(700), 'model__min_samples_split': 5, 'model__max_features': 'log2', 'model__max_depth': None}",0.49956368290412656,0.53025,0.5251153846153847,0.5178070175438596,0.45016956462078295,0.5045811299368307,0.02912477922108893,8
14.293866395950317,4.144515717334885,0.4252912521362305,0.24446671662552907,800,2,log2,4,"{'model__n_estimators': np.int64(800), 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': np.int64(4)}",0.5069325938566553,0.5137307692307692,0.5312307692307692,0.49419103313840157,0.48380804892870444,0.50597864287706,0.016304345127804504,6
93.37820773124695,55.89448465359165,0.22447428703308106,0.037816515227230126,400,5,,20,"{'model__n_estimators': np.int64(400), 'model__min_samples_split': 5, 'model__max_features': None, 'model__max_depth': np.int64(20)}",0.514301504809184,0.49108653846153844,0.5224711538461538,0.5271539961013645,0.4578146746907651,0.5025655735818012,0.025585018773817518,15
117.54426350593567,63.548603294019074,0.27089405059814453,0.11294395245551478,500,2,,20,"{'model__n_estimators': np.int64(500), 'model__min_samples_split': 2, 'model__max_features': None, 'model__max_depth': np.int64(20)}",0.5127307632640398,0.5149471153846154,0.5288509615384616,0.5278996101364523,0.4569717522984338,0.5082800405244006,0.02647598747508621,3
13.48900637626648,5.34098251292793,0.37918753623962403,0.2888764590086895,300,2,sqrt,16,"{'model__n_estimators': np.int64(300), 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': np.int64(16)}",0.5086245345950977,0.5083076923076922,0.5459038461538461,0.5074610136452242,0.4347274224217356,0.5010049018247191,0.03622620711616231,16
24.576498603820802,10.541856630058806,0.5226584911346436,0.2890120477711977,300,5,,4,"{'model__n_estimators': np.int64(300), 'model__min_samples_split': 5, 'model__max_features': None, 'model__max_depth': np.int64(4)}",0.5147766056469127,0.49272115384615384,0.5260288461538462,0.5196296296296297,0.48665046164703113,0.5079613393847148,0.015462525133477394,4
17.68861026763916,8.078168563189097,0.6076668262481689,0.30594094204923394,400,2,log2,20,"{'model__n_estimators': np.int64(400), 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': np.int64(20)}",0.5073834548557246,0.5135625,0.5139567307692308,0.5209356725146199,0.4663566149804952,0.5044389946240141,0.019518726999839097,9
31.576160669326782,8.935789004270497,0.5139243602752686,0.34637956112950286,500,2,,4,"{'model__n_estimators': np.int64(500), 'model__min_samples_split': 2, 'model__max_features': None, 'model__max_depth': np.int64(4)}",0.5146214706794912,0.4835480769230769,0.5290192307692307,0.5199220272904483,0.49147276184501987,0.5077167135014534,0.01731145030200321,5
